id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
BBDCBKS19_70,"Berry Balance De Cuisine Berry 5kg/1g  Blanc KS19","Modèle : BEURER , Coulzue : Blanc , Dimensions: 20 x 14,5 x 1,65 cm , Taille des chiffres : 20 mm , Ultra plate : seulement 16.5 mm de hauteur témoin de liquide",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-2-6.png,https://cakado.com/produit/berry-balance-de-cuisine-berry-5kg-1g-blanc-ks19/,"divers","BEURER",80TND,in stock,BBDCBKS19_70,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80TND,new,published,,,,,638,,
CD6VL25CL_62,"Coffret De 6 Verres Luna 25 Cl","Coffret de 6 Verres Luna PASABAHCE - Capacité des Verres: 25 CL - Idéal pour toutes les ambiances de table - Verre de Qualité - Haute résistance contre les rayures et autres dommage Transparent - Design simple",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-8.png,https://cakado.com/produit/coffret-de-6-verres-luna-25-cl/,"Service Des Boissons","una PASABAHCE",11.8TND,in stock,CD6VL25CL_62,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-15.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,11.8TND,new,published,,,,,638,,
SBAME7VH_95,"Scarlett Batteur à main électrique 7 vitesse HE133","Marque Openspaceshop 
Couleur Blanc et Inserts en Gris 
Puissance 180 Watts 
Voltage 220 Volts 
Dimensions du colis 19.2 x 15.8 x 7.8 cm; 760 grammes 
Nombre de vitesses 7",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-2-5.png,https://cakado.com/produit/scarlett-batteur-a-main-electrique-7-vitesse-he133/,"Petits Électroménagers","CAKADO",40TND,in stock,SBAME7VH_95,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-7.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40TND,new,published,,,,,638,,
NDPMHMA3LI_91,"Nicer Dicer Plus Mini Hachoir Manuel A 3 Lames Inox Avec Corde","Mini Hachoir Manuel - A 3 Lames Inox - Pour Fruits & Légumes Ail Persil - Avec CordeMini hachoir manuel avec une grande capacité utilisée pour la viande, les légumes, comme la salade, l'oignon ect assez bon pour la maison ou le camping de voyage.Parfait pour la préparation des pièces de bébé.  Haut rendement: Puissant et brusquem",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-13.png,https://cakado.com/produit/nicer-dicer-plus-mini-hachoir-manuel-a-3-lames-inox-avec-corde/,"Petits Électroménagers","CAKADO",15TND,in stock,NDPMHMA3LI_91,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-6.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,15TND,new,published,,,,,638,,
FEMBMACP_87,"Fouet Electrique  Mini Barboteur  Mousseur à Café Portable  Marron"," Fouet électrique conception facile et pratique  notre mousseur à lait portable est alimenté par 2 piles AA (non incluses), vous n'avez donc pas à vous soucier des tracas de fils et des prises de courant , appuyez sur le bouton de la poignée, le mousseur à lait commencera à créer instantanément une mousse crémeuse sur le lait. Dans les 30 secondes, vous avez une tasse remplie de mousse crémeuse et prête à aller dans votre café au lait. 
 
  Opération en un clic, simple et rapide . 
   Non seulement excellent dans le lait moussant, il est également un excellent outil pour les aliments liquides tels que les soupes aux œufs, les cocktails , etc. 
  Machine à mousse de lait à main: qui est une conception ergonomique confortable, faite de la meilleure qualité en acier inoxydable et fonctionnant avec une rotation à grande vitesse de la tige du fouet en acier inoxydable, est parfaite pour une utilisation polyvalente.",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-11.png,https://cakado.com/produit/fouet-electrique-mini-barboteur-mousseur-a-cafe-portable-marron/,"Petits Électroménagers","CAKADO",20TND,in stock,FEMBMACP_87,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-2-3.png,https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-4.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,20TND,new,published,,,,,638,,
HBAME7VB200G_85,"Hommer Batteur à main  électrique  7 vitesse  Blanc  200W","Mélangeur de main 200 W de la vitesse 7 de Cyber ​​avec 2 replis supplémentaires Batteurs en fer chromé ou crochets à pétrir Facile à nettoyer Bouton d'éjection pour un batteur facile à enlever et à nettoyer.Puissance: 200 W 
Matière des lames: Acier inoxydable",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-8.png,https://cakado.com/produit/hommer-batteur-a-main-electrique-7-vitesse-blanc-200w/,"Petits Électroménagers","CAKADO",30TND,in stock,HBAME7VB200G_85,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30TND,new,published,,,,,,,
LHRHHMV13_107,"Le hachoir rapide Hachoir Manuel à viande de Légumes Fruits 1300ML","Équipez votre cuisine d'un ustensile aussi simple et pratique que peu encombrant, et ne vous fatiguez plus à couper au couteau, cube par cube, vos fruits et légumes ! 
Fonctionnant sans électricité, le hachoir est pourvu d'un système de rotation à fil, qu'il suffit de tirer pour enclencher le mécanisme.",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-7.png,https://cakado.com/produit/le-hachoir-rapide-hachoir-manuel-a-viande-de-legumes-fruits-1300ml/,"Petits Électroménagers","CAKADO",28TND,in stock,LHRHHMV13_107,,"https://cakado.com/wp-content/uploads/2021/07/Untitled-design-2-1.png,https://cakado.com/wp-content/uploads/2021/07/Untitled-design-1-2.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,28TND,new,published,,,,,638,,
MFMMHAV_105,"Multi Function Meat Mincer Hachoir à viande Numero 1","Toutes les pièces peuvent être facilement assemblées et démontées pour le nettoyage. Nouveau design, peut vous aider à gagner du temps et des efforts pour faire du hachis, outil de hachoir parfait pour la fabrication de boulettes 
Convient pour la cuisine à domicile, le restaurant, l'hôtel, la cantine et le boucher, etc.",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-6.png,https://cakado.com/produit/multi-function-meat-mincer-hachoir-a-viande-numero-1/,"Petits Électroménagers","CAKADO",48TND,in stock,MFMMHAV_105,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,48TND,new,published,,,,,638,,
HAVTLEDF_103,"Hachoir À Viande Trancheur Légumes Et De Fromage","Hachoir À viande Matériel: de Haute Qualité en plastique et lame en acier inoxydable Hachoir À viande Saucisse Cuisson Condiments (ail cassé, cassé gingembre, cassé poivre, etc.) Hachoir de fruit et de legume",https://cakado.com/wp-content/uploads/2021/07/Untitled-design-5.png,https://cakado.com/produit/hachoir-a-viande-trancheur-legumes-et-de-fromage/,"Petits Électroménagers","CAKADO",30TND,in stock,HAVTLEDF_103,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,30TND,new,published,,,,,638,,
RRE800G1_101,"Royal Résistance Électrique 800 W","LE resistance électrique est un produit efficace, qui protège l'environnement , économique et pratique. Elle est adaptée pour les familles, écoles, usines, unités, et d'autres domaines, réchauffer ses repas au bureau et d'autres objets de chauffage, cuisson, etc.Cette plaque chauffante électrique simple avec contrôle de la température réglable et fonction de coupure thermique intégrée vous assurera une expérience de cuisson agréable, confortable",https://cakado.com/wp-content/uploads/2021/07/unnamed-file.png,https://cakado.com/produit/royal-resistance-electrique-800-w/,"Petits Électroménagers","Royal",25TND,in stock,RRE800G1_101,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25TND,new,published,,,,,638,,
